site,month,calendar_days,k_mcar,k_block_1,k_block_2,k_weekday_heavy,k_weekend_heavy,k_markov,recommended_k,threshold_status,operational_status
175-0256,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,complete_exact
175-0256,3,31,7,8,8,10,22,8,10,certified,complete_exact
175-0256,4,30,19,22,21,19,25,21,22,certified,complete_exact
175-0256,5,31,7,10,11,10,12,8,11,certified,complete_exact
175-0256,6,30,5,4,5,7,9,6,7,certified,complete_exact
175-0256,7,31,13,14,12,15,20,14,15,certified,complete_exact
175-0256,8,31,8,10,10,8,15,9,10,certified,complete_exact
175-0256,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
175-0256,10,31,6,13,10,10,6,7,13,certified,complete_exact
175-0256,11,30,17,23,19,16,22,20,23,certified,complete_exact
175-0256,12,31,25,27,27,25,25,26,27,certified,complete_exact
175-0269,1,31,26,27,27,25,28,27,27,certified,complete_exact
175-0269,2,29,22,22,25,20,26,24,25,certified_calendar_sensitivity,complete_exact
175-0269,3,31,20,22,24,20,28,23,24,certified,complete_exact
175-0269,4,30,23,24,25,24,27,24,25,certified,complete_exact
175-0269,5,31,25,27,27,25,28,26,27,certified,complete_exact
175-0269,6,30,19,15,14,16,26,21,21,certified,complete_exact
175-0269,7,31,22,22,24,22,26,23,24,certified,complete_exact
175-0269,8,31,19,14,15,16,26,19,19,certified,complete_exact
175-0269,9,30,25,23,26,24,26,27,27,certified,incomplete_requires_prediction
175-0269,10,31,21,22,24,21,27,23,24,certified,complete_exact
175-0269,11,30,19,22,22,19,25,21,22,certified,complete_exact
175-0269,12,31,23,25,26,22,26,24,26,certified,complete_exact
177-0005,1,31,14,15,15,16,21,15,16,certified,complete_exact
177-0005,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
177-0005,3,31,7,10,9,8,7,8,10,certified,complete_exact
177-0005,4,30,8,13,11,11,20,10,13,certified,incomplete_requires_prediction
177-0005,5,31,9,12,12,11,11,10,12,certified,incomplete_requires_prediction
177-0005,6,30,4,5,5,6,5,5,6,certified,complete_exact
177-0005,7,31,11,10,10,12,12,12,12,certified,complete_exact
177-0005,8,31,4,7,5,6,3,4,7,certified,complete_exact
177-0005,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
177-0005,10,31,8,10,11,12,21,9,12,certified,complete_exact
177-0005,11,30,7,7,7,9,8,8,9,certified,complete_exact
177-0005,12,31,13,18,14,13,12,15,18,certified,complete_exact
177-0041,1,31,14,15,15,16,21,15,16,certified,complete_exact
177-0041,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
177-0041,3,31,10,14,11,11,15,11,14,certified,complete_exact
177-0041,4,30,9,8,10,11,20,10,11,certified,complete_exact
177-0041,5,31,9,12,12,11,12,10,12,certified,complete_exact
177-0041,6,30,6,6,8,9,14,7,9,certified,complete_exact
177-0041,7,31,13,15,14,15,20,15,15,certified,complete_exact
177-0041,8,31,6,7,10,7,13,8,10,certified,complete_exact
177-0041,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
177-0041,10,31,5,7,7,11,7,6,11,certified,incomplete_requires_prediction
177-0041,11,30,11,15,13,11,19,13,15,certified,complete_exact
177-0041,12,31,13,14,12,13,15,14,14,certified,complete_exact
179-0018,1,31,14,15,15,16,21,15,16,certified,complete_exact
179-0018,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
179-0018,3,31,8,12,10,8,12,10,12,certified,complete_exact
179-0018,4,30,6,7,9,9,11,7,9,certified,complete_exact
179-0018,5,31,9,12,12,11,12,10,12,certified,complete_exact
179-0018,6,30,6,6,8,9,14,7,9,certified,complete_exact
179-0018,7,31,16,15,15,18,22,17,18,certified,complete_exact
179-0018,8,31,6,7,10,7,13,8,10,certified,complete_exact
179-0018,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
179-0018,10,31,9,10,11,12,21,10,12,certified,complete_exact
179-0018,11,30,8,8,10,9,9,9,10,certified,complete_exact
179-0018,12,31,13,14,12,13,15,14,14,certified,complete_exact
179-0072,1,31,14,15,15,16,21,15,16,certified,complete_exact
179-0072,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
179-0072,3,31,8,12,10,8,12,10,12,certified,complete_exact
179-0072,4,30,6,7,9,9,11,7,9,certified,complete_exact
179-0072,5,31,9,12,12,11,12,10,12,certified,complete_exact
179-0072,6,30,6,6,8,9,14,7,9,certified,complete_exact
179-0072,7,31,16,15,15,18,22,17,18,certified,complete_exact
179-0072,8,31,6,7,10,7,13,8,10,certified,complete_exact
179-0072,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
179-0072,10,31,9,10,11,12,21,10,12,certified,complete_exact
179-0072,11,30,8,8,10,9,9,9,10,certified,complete_exact
179-0072,12,31,13,14,12,13,14,14,14,certified,complete_exact
185-0227,1,31,23,23,26,22,27,26,26,certified,complete_exact
185-0227,2,29,12,18,11,13,21,16,18,certified_calendar_sensitivity,complete_exact
185-0227,3,31,7,8,7,8,20,7,8,certified,complete_exact
185-0227,4,30,18,22,20,19,25,20,22,certified,complete_exact
185-0227,5,31,7,10,11,10,11,8,11,certified,complete_exact
185-0227,6,30,5,4,5,7,9,6,7,certified,complete_exact
185-0227,7,31,13,14,12,15,20,14,15,certified,complete_exact
185-0227,8,31,8,10,10,8,15,9,10,certified,complete_exact
185-0227,9,30,13,12,14,14,16,15,15,certified,incomplete_requires_prediction
185-0227,10,31,6,13,10,10,6,7,13,certified,incomplete_requires_prediction
185-0227,11,30,17,23,19,16,22,20,23,certified,complete_exact
185-0227,12,31,25,27,27,25,25,26,27,certified,complete_exact
185-0235,1,31,23,23,26,22,27,26,26,certified,no_target_record
185-0235,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,no_target_record
185-0235,3,31,7,8,8,10,22,8,10,certified,no_target_record
185-0235,4,30,18,22,21,19,25,21,22,certified,no_target_record
185-0235,5,31,7,10,11,10,12,8,11,certified,no_target_record
185-0235,6,30,5,4,5,7,9,6,7,certified,no_target_record
185-0235,7,31,13,14,12,15,20,14,15,certified,no_target_record
185-0235,8,31,8,10,10,8,15,9,10,certified,no_target_record
185-0235,9,30,14,13,15,14,16,15,15,certified,no_target_record
185-0235,10,31,6,13,10,10,6,7,13,certified,no_target_record
185-0235,11,30,17,23,19,16,22,20,23,certified,no_target_record
185-0235,12,31,25,27,27,25,25,26,27,certified,incomplete_requires_prediction
187-0009,1,31,14,15,15,16,21,15,16,certified,complete_exact
187-0009,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
187-0009,3,31,7,10,9,8,7,8,10,certified,complete_exact
187-0009,4,30,8,13,12,11,20,10,13,certified,complete_exact
187-0009,5,31,9,12,12,11,12,10,12,certified,complete_exact
187-0009,6,30,5,5,5,7,5,5,7,certified,complete_exact
187-0009,7,31,13,15,14,15,20,15,15,certified,complete_exact
187-0009,8,31,4,6,3,6,3,4,6,certified,complete_exact
187-0009,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
187-0009,10,31,5,7,7,11,7,6,11,certified,complete_exact
187-0009,11,30,7,9,9,9,8,8,9,certified,complete_exact
187-0009,12,31,13,18,14,13,13,15,18,certified,complete_exact
187-0067,1,31,15,15,15,16,18,16,16,certified,incomplete_requires_prediction
187-0067,2,29,6,6,8,8,10,7,8,certified_calendar_sensitivity,no_target_record
187-0067,3,31,10,14,11,10,15,11,14,certified,no_target_record
187-0067,4,30,9,8,10,11,20,10,11,certified,no_target_record
187-0067,5,31,9,12,12,11,12,10,12,certified,no_target_record
187-0067,6,30,6,6,8,9,14,7,9,certified,no_target_record
187-0067,7,31,13,15,14,15,20,15,15,certified,no_target_record
187-0067,8,31,4,7,5,6,4,5,7,certified,no_target_record
187-0067,9,30,5,8,9,7,5,6,9,certified,no_target_record
187-0067,10,31,5,7,7,11,7,6,11,certified,no_target_record
187-0067,11,30,11,15,13,11,19,13,15,certified,no_target_record
187-0067,12,31,13,19,14,14,13,15,19,certified,no_target_record
191-0129,1,31,26,27,27,25,28,27,27,certified,complete_exact
191-0129,2,29,22,22,25,20,26,24,25,certified_calendar_sensitivity,complete_exact
191-0129,3,31,20,22,24,20,28,23,24,certified,complete_exact
191-0129,4,30,23,24,25,24,27,24,25,certified,complete_exact
191-0129,5,31,25,27,27,25,28,26,27,certified,complete_exact
191-0129,6,30,19,15,14,16,26,21,21,certified,complete_exact
191-0129,7,31,22,22,24,22,26,23,24,certified,complete_exact
191-0129,8,31,19,14,15,16,26,19,19,certified,incomplete_requires_prediction
191-0129,9,30,25,23,26,24,26,27,27,certified,incomplete_requires_prediction
191-0129,10,31,21,22,24,21,27,23,24,certified,complete_exact
191-0129,11,30,19,22,22,19,25,21,22,certified,complete_exact
191-0129,12,31,23,25,26,22,26,24,26,certified,complete_exact
191-0174,1,31,14,15,15,16,21,15,16,certified,complete_exact
191-0174,2,29,6,6,8,8,9,7,8,certified_calendar_sensitivity,complete_exact
191-0174,3,31,10,14,11,10,14,11,14,certified,complete_exact
191-0174,4,30,8,8,10,10,12,9,10,certified,complete_exact
191-0174,5,31,9,12,12,11,12,10,12,certified,complete_exact
191-0174,6,30,6,6,8,9,14,7,9,certified,complete_exact
191-0174,7,31,13,15,14,15,20,15,15,certified,complete_exact
191-0174,8,31,6,7,10,7,13,7,10,certified,complete_exact
191-0174,9,30,15,17,17,16,19,18,18,certified,incomplete_requires_prediction
191-0174,10,31,5,7,7,10,7,6,10,certified,complete_exact
191-0174,11,30,10,15,12,11,17,12,15,certified,complete_exact
191-0174,12,31,13,14,12,13,15,14,14,certified,complete_exact
191-0187,1,31,22,23,26,21,27,25,26,certified,complete_exact
191-0187,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,incomplete_requires_prediction
191-0187,3,31,7,8,8,10,22,8,10,certified,no_target_record
191-0187,4,30,19,22,21,19,25,21,22,certified,no_target_record
191-0187,5,31,7,10,11,10,12,8,11,certified,no_target_record
191-0187,6,30,5,4,5,7,9,6,7,certified,no_target_record
191-0187,7,31,13,14,12,15,20,14,15,certified,no_target_record
191-0187,8,31,8,10,10,8,15,9,10,certified,no_target_record
191-0187,9,30,13,12,14,14,15,15,15,certified,no_target_record
191-0187,10,31,6,13,10,10,6,7,13,certified,no_target_record
191-0187,11,30,17,23,19,16,22,19,23,certified,no_target_record
191-0187,12,31,24,27,26,23,24,25,27,certified,no_target_record
199-0312,1,31,18,15,16,18,18,18,18,certified,complete_exact
199-0312,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,complete_exact
199-0312,3,31,6,8,7,7,14,7,8,certified,complete_exact
199-0312,4,30,19,22,21,19,25,21,22,certified,complete_exact
199-0312,5,31,7,10,11,10,11,8,11,certified,complete_exact
199-0312,6,30,5,4,5,7,9,6,7,certified,complete_exact
199-0312,7,31,13,14,12,15,20,14,15,certified,complete_exact
199-0312,8,31,8,10,10,8,15,9,10,certified,complete_exact
199-0312,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
199-0312,10,31,5,10,6,10,6,6,10,certified,incomplete_requires_prediction
199-0312,11,30,17,23,19,16,22,20,23,certified,incomplete_requires_prediction
199-0312,12,31,25,27,27,25,25,26,27,certified,no_target_record
205-0243,1,31,14,15,15,16,21,15,16,certified,complete_exact
205-0243,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
205-0243,3,31,8,12,10,8,12,10,12,certified,complete_exact
205-0243,4,30,9,8,10,11,20,10,11,certified,complete_exact
205-0243,5,31,9,12,12,11,12,10,12,certified,complete_exact
205-0243,6,30,6,6,8,9,14,7,9,certified,complete_exact
205-0243,7,31,11,10,10,12,13,12,12,certified,incomplete_requires_prediction
205-0243,8,31,6,7,10,7,13,8,10,certified,complete_exact
205-0243,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
205-0243,10,31,5,7,7,11,7,6,11,certified,incomplete_requires_prediction
205-0243,11,30,11,15,13,11,19,13,15,certified,complete_exact
205-0243,12,31,13,14,12,13,15,14,14,certified,complete_exact
207-9408,1,31,20,22,21,20,22,22,22,certified,complete_exact
207-9408,2,29,8,11,8,9,8,8,11,certified_calendar_sensitivity,complete_exact
207-9408,3,31,13,14,14,13,22,15,15,certified_finite_cohorts,complete_exact
207-9408,4,30,18,23,23,18,22,22,23,certified,complete_exact
207-9408,5,31,9,14,12,11,12,11,14,certified,complete_exact
207-9408,6,30,8,8,10,9,11,8,10,certified,complete_exact
207-9408,7,31,16,14,15,16,22,17,17,certified,complete_exact
207-9408,8,31,8,9,9,8,8,9,9,certified,complete_exact
207-9408,9,30,20,21,23,20,21,23,23,certified,incomplete_requires_prediction
207-9408,10,31,11,14,14,13,17,13,14,certified,complete_exact
207-9408,11,30,11,14,13,12,12,13,14,certified,complete_exact
207-9408,12,31,19,21,22,19,25,21,22,certified,complete_exact
207-9507,1,31,21,22,22,20,23,23,23,certified,complete_exact
207-9507,2,29,8,13,8,9,9,9,13,certified_calendar_sensitivity,complete_exact
207-9507,3,31,14,14,15,13,22,15,15,certified_finite_cohorts,complete_exact
207-9507,4,30,17,23,22,17,22,21,23,certified,complete_exact
207-9507,5,31,9,14,12,11,12,11,14,certified,complete_exact
207-9507,6,30,8,8,10,10,12,9,10,certified,complete_exact
207-9507,7,31,16,14,15,17,23,17,17,certified,complete_exact
207-9507,8,31,8,9,9,8,7,9,9,certified,complete_exact
207-9507,9,30,20,22,23,21,21,23,23,certified,incomplete_requires_prediction
207-9507,10,31,12,17,14,13,17,13,17,certified,complete_exact
207-9507,11,30,12,14,14,12,13,14,14,certified,complete_exact
207-9507,12,31,19,21,22,18,25,21,22,certified,complete_exact
209-0123,1,31,14,15,15,16,21,15,16,certified,complete_exact
209-0123,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
209-0123,3,31,8,12,10,8,12,10,12,certified,complete_exact
209-0123,4,30,6,7,8,9,11,7,9,certified,complete_exact
209-0123,5,31,9,12,12,11,12,10,12,certified,complete_exact
209-0123,6,30,6,6,8,9,14,7,9,certified,complete_exact
209-0123,7,31,16,15,15,18,22,17,18,certified,complete_exact
209-0123,8,31,6,7,10,7,13,8,10,certified,complete_exact
209-0123,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
209-0123,10,31,9,10,11,12,21,10,12,certified,complete_exact
209-0123,11,30,8,8,10,9,9,9,10,certified,complete_exact
209-0123,12,31,13,14,12,13,15,14,14,certified,complete_exact
211-0203,1,31,23,23,26,22,27,26,26,certified,complete_exact
211-0203,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,complete_exact
211-0203,3,31,7,8,8,10,22,8,10,certified,complete_exact
211-0203,4,30,19,22,21,19,25,21,22,certified,incomplete_requires_prediction
211-0203,5,31,7,10,11,10,12,8,11,certified,incomplete_requires_prediction
211-0203,6,30,5,4,5,7,9,6,7,certified,complete_exact
211-0203,7,31,13,14,12,15,20,14,15,certified,complete_exact
211-0203,8,31,8,10,10,8,15,9,10,certified,incomplete_requires_prediction
211-0203,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
211-0203,10,31,6,13,10,10,6,7,13,certified,complete_exact
211-0203,11,30,8,8,10,9,10,8,10,certified,complete_exact
211-0203,12,31,25,27,27,25,25,26,27,certified,complete_exact
213-0112,1,31,26,27,27,25,28,27,27,certified,complete_exact
213-0112,2,29,22,22,25,20,26,24,25,certified_calendar_sensitivity,complete_exact
213-0112,3,31,20,22,24,20,28,23,24,certified,complete_exact
213-0112,4,30,23,24,25,24,27,24,25,certified,complete_exact
213-0112,5,31,25,27,27,25,28,26,27,certified,complete_exact
213-0112,6,30,19,15,14,16,26,21,21,certified,complete_exact
213-0112,7,31,22,22,24,22,26,23,24,certified,complete_exact
213-0112,8,31,19,14,15,16,26,19,19,certified,complete_exact
213-0112,9,30,25,23,26,24,26,27,27,certified,complete_exact
213-0112,10,31,21,22,24,21,27,23,24,certified,complete_exact
213-0112,11,30,19,22,22,19,25,21,22,certified,complete_exact
213-0112,12,31,23,25,26,22,26,24,26,certified,complete_exact
213-0212,1,31,26,27,27,25,28,27,27,certified,complete_exact
213-0212,2,29,22,22,25,20,26,24,25,certified_calendar_sensitivity,complete_exact
213-0212,3,31,20,22,24,20,28,23,24,certified,complete_exact
213-0212,4,30,23,24,25,24,27,24,25,certified,complete_exact
213-0212,5,31,25,27,27,25,28,26,27,certified,complete_exact
213-0212,6,30,19,15,14,16,26,21,21,certified,complete_exact
213-0212,7,31,22,22,24,22,26,23,24,certified,incomplete_requires_prediction
213-0212,8,31,19,14,15,16,26,19,19,certified,complete_exact
213-0212,9,30,25,23,26,24,26,27,27,certified,complete_exact
213-0212,10,31,21,22,24,21,27,23,24,certified,incomplete_requires_prediction
213-0212,11,30,19,22,22,19,25,21,22,certified,complete_exact
213-0212,12,31,23,25,26,22,26,24,26,certified,complete_exact
215-0165,1,31,14,15,15,16,21,15,16,certified,complete_exact
215-0165,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
215-0165,3,31,7,10,10,8,8,8,10,certified,complete_exact
215-0165,4,30,8,13,12,11,20,10,13,certified,complete_exact
215-0165,5,31,9,12,12,11,12,10,12,certified,incomplete_requires_prediction
215-0165,6,30,5,5,5,7,5,5,7,certified,no_target_record
215-0165,7,31,11,10,10,12,12,12,12,certified,no_target_record
215-0165,8,31,4,7,5,6,4,5,7,certified,no_target_record
215-0165,9,30,5,8,9,7,5,6,9,certified,no_target_record
215-0165,10,31,9,10,11,12,21,10,12,certified,no_target_record
215-0165,11,30,7,9,9,9,8,8,9,certified,no_target_record
215-0165,12,31,13,19,14,14,13,15,19,certified,no_target_record
215-0325,1,31,17,18,18,17,23,18,18,certified,complete_exact
215-0325,2,29,6,7,8,8,11,7,8,certified_calendar_sensitivity,complete_exact
215-0325,3,31,6,8,7,7,14,7,8,certified,complete_exact
215-0325,4,30,6,10,8,10,9,8,10,certified,complete_exact
215-0325,5,31,7,10,11,10,11,8,11,certified,complete_exact
215-0325,6,30,5,3,4,7,9,6,7,certified,complete_exact
215-0325,7,31,10,12,11,13,18,11,13,certified,complete_exact
215-0325,8,31,3,3,3,5,3,3,5,certified,complete_exact
215-0325,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
215-0325,10,31,5,10,6,10,6,6,10,certified,complete_exact
215-0325,11,30,9,15,12,10,14,11,15,certified,complete_exact
215-0325,12,31,12,17,12,13,14,14,17,certified,incomplete_requires_prediction
215-0336,1,31,18,15,17,18,22,18,18,certified,complete_exact
215-0336,2,29,6,7,8,8,11,8,8,certified_calendar_sensitivity,complete_exact
215-0336,3,31,6,8,8,7,16,7,8,certified,complete_exact
215-0336,4,30,6,10,7,10,9,8,10,certified,complete_exact
215-0336,5,31,7,10,11,10,12,8,11,certified,incomplete_requires_prediction
215-0336,6,30,5,4,5,7,9,6,7,certified,no_target_record
215-0336,7,31,10,12,11,13,19,12,13,certified,no_target_record
215-0336,8,31,3,3,3,5,3,3,5,certified,no_target_record
215-0336,9,30,14,13,15,14,16,15,15,certified,no_target_record
215-0336,10,31,5,10,6,10,6,6,10,certified,no_target_record
215-0336,11,30,9,15,12,10,14,11,15,certified,no_target_record
215-0336,12,31,12,19,12,13,15,14,19,certified,no_target_record
217-0218,1,31,17,18,18,17,23,18,18,certified,complete_exact
217-0218,2,29,6,7,8,8,11,8,8,certified_calendar_sensitivity,complete_exact
217-0218,3,31,6,8,8,7,16,7,8,certified,complete_exact
217-0218,4,30,6,10,7,10,9,8,10,certified,complete_exact
217-0218,5,31,7,10,11,10,12,8,11,certified,complete_exact
217-0218,6,30,5,3,4,6,7,5,6,certified,complete_exact
217-0218,7,31,11,12,11,13,19,12,13,certified,complete_exact
217-0218,8,31,3,3,4,5,3,3,5,certified,complete_exact
217-0218,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
217-0218,10,31,5,10,6,10,6,6,10,certified,complete_exact
217-0218,11,30,9,15,12,10,14,11,15,certified,complete_exact
217-0218,12,31,12,19,12,13,15,14,19,certified,complete_exact
219-0203,1,31,26,27,27,25,28,27,27,certified,no_target_record
219-0203,2,29,22,22,25,20,26,24,25,certified_calendar_sensitivity,no_target_record
219-0203,3,31,20,22,24,20,28,23,24,certified,incomplete_requires_prediction
219-0203,4,30,23,23,25,24,27,24,25,certified,complete_exact
219-0203,5,31,25,27,27,25,28,26,27,certified,complete_exact
219-0203,6,30,19,15,14,16,26,21,21,certified,complete_exact
219-0203,7,31,22,22,24,22,26,23,24,certified,complete_exact
219-0203,8,31,19,14,15,16,26,19,19,certified,complete_exact
219-0203,9,30,25,23,26,24,26,27,27,certified,incomplete_requires_prediction
219-0203,10,31,21,22,24,21,27,23,24,certified,complete_exact
219-0203,11,30,19,22,22,19,25,21,22,certified,complete_exact
219-0203,12,31,23,25,26,22,26,24,26,certified,complete_exact
227-0166,1,31,26,27,27,25,28,27,27,certified,complete_exact
227-0166,2,29,22,22,25,20,26,24,25,certified_calendar_sensitivity,complete_exact
227-0166,3,31,20,22,24,20,28,23,24,certified,complete_exact
227-0166,4,30,23,24,25,24,27,24,25,certified,complete_exact
227-0166,5,31,25,27,27,25,28,26,27,certified,complete_exact
227-0166,6,30,19,15,14,16,26,21,21,certified,complete_exact
227-0166,7,31,22,22,24,22,26,23,24,certified,complete_exact
227-0166,8,31,19,14,15,16,26,19,19,certified,complete_exact
227-0166,9,30,25,23,26,24,26,27,27,certified,incomplete_requires_prediction
227-0166,10,31,21,22,24,21,27,23,24,certified,complete_exact
227-0166,11,30,19,22,22,19,25,21,22,certified,complete_exact
227-0166,12,31,23,25,26,22,26,24,26,certified,complete_exact
227-0237,1,31,15,15,15,16,18,16,16,certified,complete_exact
227-0237,2,29,6,6,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
227-0237,3,31,10,14,11,11,15,11,14,certified,complete_exact
227-0237,4,30,9,8,10,11,20,10,11,certified,complete_exact
227-0237,5,31,9,12,12,11,12,10,12,certified,complete_exact
227-0237,6,30,6,6,8,9,14,7,9,certified,complete_exact
227-0237,7,31,13,15,14,15,20,15,15,certified,complete_exact
227-0237,8,31,4,7,5,6,4,5,7,certified,complete_exact
227-0237,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
227-0237,10,31,5,7,7,11,7,6,11,certified,complete_exact
227-0237,11,30,11,15,13,11,19,13,15,certified,complete_exact
227-0237,12,31,13,19,14,13,13,15,19,certified,complete_exact
227-0249,1,31,15,15,15,16,18,16,16,certified,complete_exact
227-0249,2,29,6,6,8,8,9,6,8,certified_calendar_sensitivity,complete_exact
227-0249,3,31,10,14,11,10,15,11,14,certified,complete_exact
227-0249,4,30,9,8,10,11,20,10,11,certified,complete_exact
227-0249,5,31,9,12,12,11,12,10,12,certified,complete_exact
227-0249,6,30,6,6,8,9,14,6,9,certified,complete_exact
227-0249,7,31,13,15,14,15,20,15,15,certified,incomplete_requires_prediction
227-0249,8,31,4,7,5,6,4,5,7,certified,complete_exact
227-0249,9,30,5,8,9,6,4,6,9,certified,incomplete_requires_prediction
227-0249,10,31,5,7,7,11,7,6,11,certified,complete_exact
227-0249,11,30,11,15,13,11,19,13,15,certified,complete_exact
227-0249,12,31,13,19,14,13,13,15,19,certified,incomplete_requires_prediction
229-0163,1,31,14,15,15,16,21,15,16,certified,complete_exact
229-0163,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
229-0163,3,31,8,12,10,8,12,10,12,certified,complete_exact
229-0163,4,30,6,7,8,9,11,7,9,certified,complete_exact
229-0163,5,31,9,12,12,11,12,10,12,certified,complete_exact
229-0163,6,30,6,6,8,9,14,7,9,certified,complete_exact
229-0163,7,31,16,15,15,18,22,17,18,certified,complete_exact
229-0163,8,31,6,7,10,7,13,7,10,certified,incomplete_requires_prediction
229-0163,9,30,16,17,17,16,20,18,18,certified,incomplete_requires_prediction
229-0163,10,31,9,10,11,12,21,10,12,certified,complete_exact
229-0163,11,30,8,8,10,9,9,9,10,certified,complete_exact
229-0163,12,31,13,14,12,13,15,14,14,certified,complete_exact
229-0184,1,31,26,27,27,25,28,27,27,certified,complete_exact
229-0184,2,29,22,22,25,20,26,24,25,certified_calendar_sensitivity,complete_exact
229-0184,3,31,20,22,24,20,28,23,24,certified,complete_exact
229-0184,4,30,23,23,25,24,27,24,25,certified,complete_exact
229-0184,5,31,25,23,27,25,28,26,27,certified,complete_exact
229-0184,6,30,19,15,14,16,26,21,21,certified,complete_exact
229-0184,7,31,22,22,24,22,26,23,24,certified,complete_exact
229-0184,8,31,17,14,14,16,26,19,19,certified,incomplete_requires_prediction
229-0184,9,30,25,23,26,24,26,27,27,certified,incomplete_requires_prediction
229-0184,10,31,20,16,16,21,27,21,21,certified,complete_exact
229-0184,11,30,19,22,22,19,25,21,22,certified,complete_exact
229-0184,12,31,22,25,25,22,26,24,25,certified,complete_exact
235-0138,1,31,14,15,15,16,21,15,16,certified,complete_exact
235-0138,2,29,6,7,8,8,10,7,8,certified_calendar_sensitivity,complete_exact
235-0138,3,31,7,10,10,8,8,8,10,certified,complete_exact
235-0138,4,30,9,8,10,11,20,10,11,certified,complete_exact
235-0138,5,31,9,12,12,11,12,10,12,certified,complete_exact
235-0138,6,30,6,6,8,9,14,7,9,certified,complete_exact
235-0138,7,31,11,10,10,12,13,12,12,certified,complete_exact
235-0138,8,31,4,7,5,6,4,5,7,certified,complete_exact
235-0138,9,30,5,8,9,7,5,6,9,certified,incomplete_requires_prediction
235-0138,10,31,5,7,7,11,7,6,11,certified,complete_exact
235-0138,11,30,11,15,13,11,19,13,15,certified,complete_exact
235-0138,12,31,13,14,12,13,15,14,14,certified,complete_exact
245-0214,1,31,23,23,26,22,27,26,26,certified,complete_exact
245-0214,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,complete_exact
245-0214,3,31,6,8,8,7,16,7,8,certified,complete_exact
245-0214,4,30,19,22,21,19,25,21,22,certified,complete_exact
245-0214,5,31,7,10,11,10,12,8,11,certified,complete_exact
245-0214,6,30,5,4,5,7,9,6,7,certified,complete_exact
245-0214,7,31,11,12,11,13,19,12,13,certified,complete_exact
245-0214,8,31,8,10,10,8,15,9,10,certified,complete_exact
245-0214,9,30,14,13,15,14,16,15,15,certified,incomplete_requires_prediction
245-0214,10,31,6,13,10,10,6,7,13,certified,complete_exact
245-0214,11,30,13,20,16,14,21,15,20,certified,complete_exact
245-0214,12,31,12,19,12,13,15,14,19,certified,complete_exact
245-0223,1,31,23,23,26,22,27,26,26,certified,complete_exact
245-0223,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,complete_exact
245-0223,3,31,6,8,8,7,16,7,8,certified,incomplete_requires_prediction
245-0223,4,30,19,22,21,19,25,21,22,certified,no_target_record
245-0223,5,31,7,10,11,10,12,8,11,certified,no_target_record
245-0223,6,30,5,4,5,7,9,6,7,certified,no_target_record
245-0223,7,31,10,12,11,13,19,12,13,certified,no_target_record
245-0223,8,31,8,10,10,8,15,9,10,certified,no_target_record
245-0223,9,30,14,13,15,14,16,15,15,certified,no_target_record
245-0223,10,31,6,13,10,10,6,7,13,certified,no_target_record
245-0223,11,30,13,20,16,14,21,15,20,certified,no_target_record
245-0223,12,31,12,19,12,13,15,14,19,certified,no_target_record
245-0227,1,31,23,23,26,22,27,26,26,certified,complete_exact
245-0227,2,29,12,19,12,13,21,17,19,certified_calendar_sensitivity,complete_exact
245-0227,3,31,6,8,8,7,16,7,8,certified,complete_exact
245-0227,4,30,19,22,21,19,25,21,22,certified,complete_exact
245-0227,5,31,7,10,11,10,12,8,11,certified,complete_exact
245-0227,6,30,5,4,5,7,9,6,7,certified,complete_exact
245-0227,7,31,11,12,11,13,19,11,13,certified,complete_exact
